,,,barcelona-1992,,,atlanta-1996,,,sydney-2000,,,athens-2004,,,beijing-2008,,,london-2012,,,rio-2016,,,tokyo-2020,,Grand Total,
,,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Top 15 finishes,Percentage of Top 15 finishes
France,FRA,241,138,57.30%,222,152,68.50%,236,162,68.60%,229,154,67.20%,249,159,63.90%,234,147,62.80%,248,162,65.30%,237,162,68.40%,1236,65.20%
Gabon,GAB,,0,0.00%,3,1,33.30%,2,1,50.00%,,0,0.00%,2,1,50.00%,5,3,60.00%,4,3,75.00%,2,1,50.00%,10,43.50%
Gambia,GMB,,0,0.00%,,0,--,,0,--,,0,--,,0,0.00%,,0,--,,0,0.00%,,0,0.00%,0,0.00%
Georgia,GEO,,0,--,32,18,56.30%,33,21,63.60%,26,19,73.10%,31,20,64.50%,34,19,55.90%,39,26,66.70%,28,24,85.70%,147,65.90%
Germany,DEU,322,245,76.10%,316,256,81.00%,316,235,74.40%,296,206,69.60%,266,181,68.00%,283,206,72.80%,272,183,67.30%,249,170,68.30%,1682,72.50%
Ghana,GHA,9,2,22.20%,5,2,40.00%,4,3,75.00%,3,3,100.00%,7,2,28.60%,7,2,28.60%,,0,0.00%,6,4,66.70%,18,39.10%
Great Britain,GBR,252,129,51.20%,185,107,57.80%,200,126,63.00%,181,128,70.70%,222,160,72.10%,314,206,65.60%,247,197,79.80%,234,182,77.80%,1235,67.30%
Greece,GRC,46,21,45.70%,77,36,46.80%,98,48,49.00%,204,106,52.00%,85,38,44.70%,64,26,40.60%,61,28,45.90%,41,27,65.90%,330,48.80%
Grenada,GRD,,0,--,,0,--,,0,0.00%,3,1,33.30%,,0,0.00%,5,2,40.00%,6,3,50.00%,2,2,100.00%,8,44.40%
Guam,GUM,31,3,9.70%,,0,0.00%,6,1,16.70%,,0,0.00%,3,1,33.30%,6,1,16.70%,,0,0.00%,2,1,50.00%,7,11.50%
Guatemala,GTM,28,1,3.60%,28,2,7.10%,13,3,23.10%,18,5,27.80%,13,1,7.70%,21,6,28.60%,21,4,19.00%,22,5,22.70%,27,16.50%
Guinea,GIN,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,3,1,33.30%,,0,0.00%,,0,0.00%,2,1,50.00%,2,11.10%
Guinea-Bissau,GNB,,0,--,,0,0.00%,,0,0.00%,1,1,100.00%,,0,0.00%,2,1,50.00%,3,3,100.00%,3,2,66.70%,7,58.30%
Guyana,GUY,4,1,25.00%,,0,0.00%,,0,--,2,1,50.00%,,0,0.00%,,0,0.00%,3,1,33.30%,,0,0.00%,3,18.80%
Haiti,HTI,,0,0.00%,4,1,25.00%,2,1,50.00%,2,1,50.00%,,0,0.00%,3,1,33.30%,7,1,14.30%,3,2,66.70%,7,23.30%
Honduras,HND,,0,0.00%,6,2,33.30%,4,1,25.00%,,0,0.00%,5,1,20.00%,8,3,37.50%,7,3,42.90%,4,2,50.00%,12,19.40%
"Hong Kong, China",HKG,46,10,21.70%,25,5,20.00%,34,3,8.80%,34,11,32.40%,36,11,30.60%,36,13,36.10%,37,19,51.40%,37,20,54.10%,92,32.30%
Hungary,HUN,192,117,60.90%,162,83,51.20%,132,78,59.10%,147,74,50.30%,127,59,46.50%,124,73,58.90%,145,71,49.00%,108,76,70.40%,631,55.50%
Iceland,ISL,15,3,20.00%,6,2,33.30%,20,4,20.00%,15,3,20.00%,15,1,6.70%,19,4,21.10%,7,4,57.10%,,0,0.00%,21,21.40%
Independent Olympic Athletes,IOA,56,16,28.60%,,0,--,,0,0.00%,,0,--,,0,--,,0,0.00%,9,5,55.60%,,0,--,21,29.20%
India,IND,39,7,17.90%,30,9,30.00%,27,12,44.40%,46,21,45.70%,52,16,30.80%,65,32,49.20%,73,31,42.50%,74,35,47.30%,163,40.10%
Indonesia,IDN,35,18,51.40%,33,21,63.60%,36,16,44.40%,28,14,50.00%,19,12,63.20%,18,12,66.70%,23,15,65.20%,21,14,66.70%,122,57.30%
Iraq,IRQ,8,5,62.50%,,0,0.00%,,0,0.00%,5,4,80.00%,1,1,100.00%,6,2,33.30%,5,2,40.00%,,0,0.00%,14,45.20%
Ireland,IRL,46,16,34.80%,50,18,36.00%,34,8,23.50%,35,12,34.30%,40,15,37.50%,57,24,42.10%,56,24,42.90%,60,31,51.70%,148,39.20%
Islamic Republic of Iran,IRN,35,13,37.10%,17,10,58.80%,32,19,59.40%,31,18,58.10%,40,24,60.00%,51,27,52.90%,48,25,52.10%,44,31,70.50%,167,56.00%
Israel,ISR,33,10,30.30%,27,9,33.30%,34,17,50.00%,29,11,37.90%,40,16,40.00%,31,16,51.60%,46,15,32.60%,49,34,69.40%,128,44.30%
